,Geo,Name,Website,Wiki
82,"(Decimal('30.748888889999999918245521257631480693817138671875'), Decimal('76.787499999999994315658113919198513031005859375'))","Government Museum and Art Gallery, Chandigarh",http://203.100.69.89:81/chdmuseum/home/govtmuseum,"/wiki/Government_Museum_and_Art_Gallery,_Chandigarh"
83,"(Decimal('13.0706500000000005456968210637569427490234375'), Decimal('80.2572890000000001009539118967950344085693359375'))","Government Museum, Chennai",http://www.govtmuseumchennai.org/,"/wiki/Government_Museum,_Chennai"
84,"(Decimal('13.0694444399999998296379999374039471149444580078125'), Decimal('80.255833330000001524240360595285892486572265625'))",The National Art Gallery (Chennai),,/wiki/The_National_Art_Gallery_(Chennai)
85,"(Decimal('17.3714259999999995898178895004093647003173828125'), Decimal('78.48034699999999475039658136665821075439453125'))",Salar Jung Museum,http://www.salarjungmuseum.in/,/wiki/Salar_Jung_Museum
86,"(Decimal('26.911789999999999878355083637870848178863525390625'), Decimal('75.8195300000000003137756721116602420806884765625'))",Albert Hall Museum,,/wiki/Albert_Hall_Museum
87,,Jawahar Kala Kendra,,/wiki/Jawahar_Kala_Kendra
88,,Asutosh Museum of Indian Art,,/wiki/Asutosh_Museum_of_Indian_Art
89,"(Decimal('22.5580555599999996729820850305259227752685546875'), Decimal('88.3508333300000003873719833791255950927734375'))",Indian Museum,http://www.indianmuseumkolkata.org/,/wiki/Indian_Museum
90,"(Decimal('22.5448999999999983856469043530523777008056640625'), Decimal('88.342500000000001136868377216160297393798828125'))",Victoria Memorial (India),http://www.victoriamemorial-cal.org/,/wiki/Victoria_Memorial_(India)
91,"(Decimal('18.9258999999999986130205797962844371795654296875'), Decimal('72.83129999999999881765688769519329071044921875'))",Cowasji Jehangir Hall,,/wiki/Cowasji_Jehangir_Hall
92,"(Decimal('18.927455900000001776106728357262909412384033203125'), Decimal('72.83170300000000452200765721499919891357421875'))",Jehangir Art Gallery,https://jehangirartgallery.com/,/wiki/Jehangir_Art_Gallery
93,"(Decimal('18.925799999999998846078597125597298145294189453125'), Decimal('72.83129999999999881765688769519329071044921875'))","National Gallery of Modern Art, Mumbai",,"/wiki/National_Gallery_of_Modern_Art,_Mumbai"
94,,Prince of Wales Museum,http://www.csmvs.in/,/wiki/Prince_of_Wales_Museum
95,"(Decimal('28.610082999999999486817614524625241756439208984375'), Decimal('77.23439899999999624924384988844394683837890625'))",National Gallery of Modern Art,,/wiki/National_Gallery_of_Modern_Art
96,,"National Museum, New Delhi",http://www.nationalmuseumindia.gov.in/,"/wiki/National_Museum,_New_Delhi"
97,,Sanskriti Museums,http://www.sanskritifoundation.org/museums.htm,/wiki/Sanskriti_Museums
98,"(Decimal('28.626999999999998891553332214243710041046142578125'), Decimal('77.231999999999999317878973670303821563720703125'))",Triveni Kala Sangam,,/wiki/Triveni_Kala_Sangam
99,,Talwar Gallery,,/wiki/Talwar_Gallery
100,,Goa State Museum,http://goamuseum.gov.in/,/wiki/Goa_State_Museum
101,,Patna Museum,,/wiki/Patna_Museum
102,,Jalan Museum,http://quilahouse.com/,/wiki/Jalan_Museum
103,,Bhartiya Nritya Kala Mandir,,/wiki/Bhartiya_Nritya_Kala_Mandir
104,,Sree Chitra Art Gallery,,/wiki/Sree_Chitra_Art_Gallery
